tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
550441509175443456,VisualStockRSRC,1420070457,"lx21 made $10,008  on $AAPL -Check it out! http://profit.ly/1MnD8s?aff=202 Learn #howtotrade http://bit.ly/1c1NljX $EXE $WATT $IMRS $CACH $GMO",0,0,1
550441672312512512,KeralaGuy77,1420070496,Insanity of today weirdo massive selling. $aapl bid up 45 cents after hours after non stop selling in trading hours,0,0,0
550441732014223360,DozenStocks,1420070510,S&P100 #Stocks Performance $HD $LOW $SBUX $TGT $DVN $IBM $AMZN $F $APA $GM $MS $HAL $DIS $MCD $BMY $XOM  more@ http://12Stocks.com/sp100,0,0,0
550442977802207232,ShowDreamCar,1420070807,$GM $TSLA: Volkswagen Pushes 2014 Record Recall Tally Higher https://pic.twitter.com/WIIc1lW7hW @ProTradersNews http://growword.com/2015/01/01/0246.html… @theferrarifan,0,0,1
550443807834402816,i_Know_First,1420071005,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDks0 #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550443808606126081,aaplstocknews,1420071005,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDkrL #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550443809700851716,iknowfirst,1420071005,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDkrW #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550443857142611968,Cprediction,1420071016,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDkrN #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550443857595600896,iknowfirst_br,1420071017,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDkrZ #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550443857692078081,Gold_prediction,1420071017,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDkrP #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550443858010861568,IKFResearch,1420071017,Swing Trading: Up To 8.91% Return In 14 Days http://ow.ly/GDkrT #swingtrading #forecast #techstock $MWW $AAPL $TSLA,0,0,1
550444112328261632,GetAOM,1420071077,$UNP $ORCL $QCOM $MSFT $AAPL Top scoring mega caps right now at the end of 2014 on http://GetAOM.com,0,0,0
550444969924653056,AppleNewsAAPL,1420071282,$AAPL Apple goes global with 'Start Something New' ad campaign http://bit.ly/1tof86M @MaximumPenny,0,0,1
550444970738335744,espositooooo,1420071282,“@WSJ: Apple is being sued for falsely advertising the storage capacity of iPhones: http://on.wsj.com/13TL64c $AAPL” ,0,0,0
550445066444369921,Bidnessetc,1420071305,Apple filed for its own stylus patent in 2010 http://buff.ly/1xA3Yjf $AAPL,0,0,0
550445850170642432,JorelLaraKalel,1420071492,@CNBC 15 Top #trades for #2015 #FastMoney $TIF $AAPL $TGT $TWTR $BIDU $WYNN $IBM $EOG $APC http://stks.co/j1V7z  http://stks.co/h1VAV,0,0,2
550447574285418497,btcgemini,1420071903,We searched through hundreds of charts and found 20 that perfectly capture 2014. Here they are http://stks.co/r1Dmb $AAPL $BABA $SPY,0,0,0
550447850857828352,JorelLaraKalel,1420071969,Top 10 searched #stocks of #2014 $AAPL $FB $BABA $TSLA $BAC $GOOG $INTC $GE $TWTR $AMZN http://stks.co/g1V5S http://stks.co/h1VAb,0,0,2
550447998577426433,UPBOptionMil,1420072004,2014 The Year in Review (Part II - THE END) http://optionmillionaires.com/stock-options-2014-rewind-year-review-part-iii-end/… $AAPL $GOOGL $SPY $VXX $X $USO $PCLN $BIDU $TLT,0,2,2
550448085789200384,MacHashNews,1420072025,Give your brain a workout with Squares – Challenging Puzzle Game http://dlvr.it/7zTvGm #AppAdvice $AAPL,0,0,0
550449439631233026,Market_Screener,1420072347,#GOOGLE 'C' : Chinese paper blames Google over Gmail blocking  http://4-traders.com/GOOGLE-INC-C-16118013/news/GOOGLE-C--Chinese-paper-blames-Google-over-Gmail-blocking-19608660/… $GOOG,0,0,0
550450683309072384,10Xtrading,1420072644,Clay Trader Apple Inc. $AAPL Stock Chart Technical Analysis for 12-31-14http://stks.co/b1RA0,0,0,0
550452877466935296,TheTrendIsUp,1420073167,My biggest winner in 2014: Inverse Volatility ETF $XIVMy biggest loser in 2014: Apple $AAPL,1,0,0
550453087731982336,DCaptura,1420073217,"""http://iphone.appleinsider.com/articles/14/12/30/editorial-the-world-revolved-around-apple-inc-in-2014…"" .@DanielEran Awesome journalism as usual. #mustread $GOOG $AAPL",0,3,3
550453172096217088,jakubhajost,1420073237,RT @SeekingAlpha: A Look At BlackBerry's Deals And Acquisitions In 2014 http://seekingalpha.com/article/2791275-a-look-at-blackberrys-deals-and-acquisitions-in-2014?source=feed_f… $AMZN $BBRY,0,0,0
550453624258965505,WSJ,1420073345,Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1Acvuo6 $AMZN,21,139,57
